"Año","Código actividad económica","Nombre actividad económica","Código sector económico","Nombre sector económico","Código subsector económico","Nombre subsector económico","Costos y gastos nómina","Aportes seguridad","Aportes a entidades","Efectivo y equivalentes","Inversiones e instrumentos","Cuentas y otros por cobrar","Inventarios","Propiedades","Otros activos","Total patrimonio bruto","Pasivos","Total patrimonio líquido","Ingresos ordinarios","Ingresos financieros","Otros ingresos","Total ingresos brutos","Devoluciones, rebajas","Ingresos no renta","Total ingresos netos","Costos","Gastos administración","Gastos distribución","Gastos financieros","Otros gastos","Total costos y gastos","Renta líquida ordinaria","Pérdida líquida","Compensaciones","Renta líquida","Renta presuntiva","Renta exenta","Rentas gravables","Renta líquida gravable","Ingresos ganancias ocasionales","Costos ganancias ocasionales","Ganancias ocasionales no gravadas","Ganancias ocasionales gravables","Impuesto RLG","Descuentos tributarios","Impuesto neto de renta","Impuesto ganancias ocasionales","Total Impuesto a cargo","Anticipo renta año anterior","Saldo a favor año anterior","Autorretenciones","Otras retenciones","Total retenciones","Anticipo renta siguiente año","Saldo a pagar por impuesto","Sanciones","Total saldo a pagar","Total saldo a favor"
"2018","1052","ELABORACIÓN DE ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDÓN","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","60892","6826","2416","31813","268","188639","87704","175416","3015","488706","190386","299785","843973","8005","4824","856801","15908","26","840867","565846","67083","78972","11890","25039","748829","92553","515","794","91759","9374","59","0","91832","1239","1173","0","66","30305","69","30235","7","33810","25","322","19384","1106","20490","3098","13519","1","13519","1062"
"2016","6630","ACTIVIDADES DE ADMINISTRACIÓN DE FONDOS","8","ACTIVIDADES FINANCIERAS, INMOBILIARIAS Y DE SEGUROS","11","ACTIVIDADES FINANCIERAS Y DE SEGUROS","494337","68387","25739","26316832","823201","530785","68","135059","2417526","30223471","18966882","11259783","6889765","1793230","133246","8816241","0","97385","8718856","430","4444158","29659","0","2858403","7332650","1357329","7732","232","1357098","123340","215470","0","1143141","2279","2254","25","0","285785","9520","276265","0","276265","90","11104","289274","2265","291540","411","61697","2","61699","20070"
"2013","3092","Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad","3","Manufactura","3","Industrias manufactureras","1340","228","55","1334","45","2716","3069","3345","131","10639","4017","6767","15268","38","50","15356","53","0","15303","12240","1845","857","0","240","2942","548","437","0","548","163","0","0","585","0","0","0","0","146","0","146","0","146","17","30","0","214","214","16","19","0","19","118"
"2019","5021","TRANSPORTE FLUVIAL DE PASAJEROS","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","8","TRANSPORTE Y ALMACENAMIENTO","9311","1551","321","7768","1381","24202","1560","32790","2386","72268","36607","36176","67017","587","824","68429","231","4","68193","18037","24563","12751","1160","419","56930","11770","537","2","11768","303","8235","0","3542","2","0","0","2","1162","9","1153","0","1153","119","224","380","562","942","84","250","11","254","291"
"2013","8130","Actividades de paisajismo y servicios de mantenimiento conexos","9","Actividades profesionales, científicas, técnicas y de servicios administrativos y de apoyo","14","Actividades de servicios administrativos y de apoyo","46628","8095","1856","12146","1065","29258","6255","15477","1572","65774","28518","37382","135434","738","453","136626","1453","400","134773","81053","33969","4393","0","3075","41508","11304","360","0","11304","588","1788","7","9579","1776","1328","0","448","2314","0","2315","45","2359","126","310","57","3125","3182","487","188","17","194","949"
"2020","2790","FABRICACIÓN DE OTROS TIPOS DE EQUIPO ELÉCTRICO N.C.P.","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","260973","30424","11541","75348","16870","753363","445765","156663","238578","1704413","773339","946340","1657095","44427","326785","2028307","24134","2837","2001336","1317951","209845","144197","65789","15651","1753431","256360","8205","484","255875","2918","610","0","255436","11991","10361","164","1515","81266","4624","76642","152","76794","1004","26798","41841","13041","54882","1410","14768","13","14770","19237"
"2018","8691","ACTIVIDADES DE APOYO DIAGNÓSTICO","10","ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA Y DEFENSA, DE ENSEÑANZA, ACTIVIDADES DE ATENCIÓN DE LA SALUD Y DE ASISTENCIA SOCIAL","17","ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL","490110","64497","17465","214897","136348","1426041","43884","688668","105526","2677666","1385415","1298609","2753100","12205","32567","2821822","51690","24729","2745404","1590171","645659","66815","56825","27000","2386469","374667","15837","1232","373530","37213","4550","0","372205","28808","8519","499","19883","121133","136","120998","1994","130328","15212","20912","25282","73704","98986","16943","36325","42","36338","31428"
"2013","3210","Fabricación de joyas, bisutería y artículos conexos","3","Manufactura","3","Industrias manufactureras","10358","1750","543","6636","3232","18907","20835","18408","4460","72478","39622","33033","73355","350","4712","78417","796","0","77621","41734","16827","10840","0","3201","30868","5013","1690","73","4940","859","0","0","5162","540","428","0","112","1151","0","1151","11","1162","147","143","195","781","976","164","359","4","361","296"
"2015","2394","FABRICACIÓN DE CEMENTO, CAL Y YESO","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","452979","60123","15728","417643","5365403","2711441","409526","3854373","632523","13390909","6093952","7297386","6007683","53266","768824","6829773","47542","72250","6709981","3506973","693424","638359","0","1091","3508064","984872","41458","85213","984872","264944","0","0","989618","97352","83254","5532","8566","238178","36160","202010","857","202866","27755","43648","124655","12814","137469","43880","101132","14","101133","63246"
"2020","6422","ACTIVIDADES DE LAS COMPAÑÍAS DE FINANCIAMIENTO","8","ACTIVIDADES FINANCIERAS, INMOBILIARIAS Y DE SEGUROS","11","ACTIVIDADES FINANCIERAS Y DE SEGUROS","302818","32279","10942","1224005","519622","10877750","218","146597","255731","13062769","11022747","2040956","1297836","1452967","177356","2928193","144","102","2927946","89706","1710129","1068","488943","273430","2563276","398635","7164","33594","365040","8511","19240","0","346758","8871","10927","0","101","110963","16121","94841","12","94853","2360","27648","120563","3627","124191","2508","7012","1","7013","47907"
"2019","4782","COMERCIO AL POR MENOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO, EN PUESTOS DE VENTA MÓVILES","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","7","COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS","3858","680","144","1242","357","2672","1485","11692","565","18078","5689","12848","14767","6","214","14986","174","0","14812","8228","5909","1136","137","61","15470","769","1427","102","667","83","0","0","715","65","65","0","0","234","0","233","0","233","12","73","73","208","282","76","109","2","110","164"
